Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ
23.954,1.25,-0.88,0.25,16,16,16
23.956,1.38,-0.88,0.25,16,16,31
23.958,1.38,-0.75,0.25,16,16,31
23.960,1.38,-0.75,0.25,16,16,31
23.962,1.38,-0.75,0.25,16,0,31
23.964,1.25,-0.75,0.25,16,0,31
23.966,1.12,-0.75,0.25,16,0,31
23.968,1.00,-0.75,0.38,16,0,31
23.970,0.88,-0.62,0.38,16,0,31
23.972,0.75,-0.62,0.25,16,0,31
23.974,0.62,-0.62,0.25,16,0,31
23.976,0.50,-0.62,0.25,31,0,31
23.978,0.38,-0.62,0.25,31,0,31
23.980,0.38,-0.62,0.25,31,0,31
23.982,0.25,-0.62,0.12,31,0,31
23.984,0.25,-0.62,0.12,47,16,31
23.986,0.12,-0.50,0.12,47,16,31
23.988,0.00,-0.50,0.12,47,16,31
23.990,0.00,-0.38,0.25,47,16,31
23.992,0.00,-0.38,0.25,47,16,31
23.994,0.00,-0.50,0.25,47,31,16
23.996,0.00,-0.50,0.25,63,31,16
23.998,0.00,-0.62,0.25,63,31,16
24.000,0.12,-0.88,0.25,63,31,16
24.002,0.25,-1.00,0.38,63,47,0
24.004,0.25,-1.12,0.38,78,47,0
24.006,0.25,-1.12,0.38,63,47,-16
24.008,0.12,-1.00,0.38,63,47,-16
24.010,0.00,-0.75,0.38,47,47,-16
24.012,-0.12,-0.62,0.50,47,31,-16
24.014,-0.12,-0.62,0.62,47,47,-16
24.016,0.00,-0.62,0.62,47,47,-16
24.018,0.25,-0.62,0.62,47,47,-31
24.020,0.38,-0.62,0.50,47,63,-31
24.022,0.50,-0.62,0.50,47,63,-31
24.024,0.62,-0.50,0.38,47,63,-31
24.026,0.75,-0.50,0.50,47,47,-31
24.028,0.75,-0.50,0.62,47,47,-31
24.030,0.75,-0.50,0.62,47,47,-31
24.032,0.88,-0.50,0.75,47,47,-31
24.034,0.88,-0.50,0.75,47,47,-31
24.036,0.88,-0.50,0.75,47,31,-31
24.038,0.00,-0.62,0.25,63,31,16
24.040,0.12,-0.88,0.25,63,31,16
24.042,0.25,-1.00,0.38,63,47,0
24.044,0.25,-1.12,0.38,78,47,0
24.046,0.25,-1.12,0.38,63,47,-16
24.048,0.12,-1.00,0.38,63,47,-16
24.050,0.00,-0.75,0.38,47,47,-16
24.052,-0.12,-0.62,0.50,47,31,-16
24.054,-0.12,-0.62,0.62,47,47,-16
24.056,0.00,-0.62,0.62,47,47,-16
24.058,0.25,-0.62,0.62,47,47,-31
24.060,0.38,-0.62,0.50,47,63,-31
24.062,0.50,-0.62,0.50,47,63,-31
24.064,0.62,-0.50,0.38,47,63,-31
24.066,0.75,-0.50,0.50,47,47,-31
24.068,0.75,-0.50,0.62,47,47,-31
24.070,0.75,-0.50,0.62,47,47,-31
24.072,0.88,-0.50,0.75,47,47,-31
24.074,0.88,-0.50,0.75,47,47,-31
24.076,0.88,-0.50,0.75,47,31,-31
32.474,0.75,-0.75,0.12,0,0,0
32.476,0.75,-0.75,0.12,0,0,0
32.478,0.88,-0.88,0.00,0,0,0
32.480,1.00,-0.88,0.00,0,0,0
32.482,1.62,-1.00,0.00,16,16,16
32.484,2.62,-1.62,-0.25,16,16,16
32.486,3.50,-2.75,-0.75,16,31,16
32.488,4.12,-3.38,-1.12,31,47,16
32.490,5.00,-4.38,-2.50,31,47,31
32.492,5.62,-3.75,-4.38,16,16,47
32.494,4.00,-1.62,-3.62,-63,-31,47
32.496,2.25,0.00,-3.00,-203,-203,16
32.498,0.00,1.50,-1.38,-188,-344,0
32.500,-2.75,2.75,0.12,-141,-391,-31
32.502,-4.75,3.62,1.25,-78,-359,-47
32.504,-5.62,3.00,1.62,-16,-313,-47
32.506,-4.50,1.25,1.00,0,-250,-16
32.508,-0.75,0.25,1.25,16,-172,16
32.510,-2.00,-1.00,1.12,63,0,31
32.512,-1.75,-2.38,0.38,16,188,94
32.514,-0.12,-3.38,-1.12,-16,63,63
32.516,1.38,-4.38,-2.00,-47,-31,31
32.518,1.88,-4.62,-0.38,-16,-31,-31
32.520,2.50,-4.12,0.88,-16,31,-78
32.522,2.88,-2.38,1.38,-47,31,-109
32.524,1.50,-0.88,0.62,-94,0,-109
32.526,0.50,0.00,-0.50,-203,-16,-47
32.528,0.12,0.62,-0.62,-188,0,-31
32.530,-0.25,0.88,-0.88,-109,31,-47
32.532,-0.50,1.88,0.00,-31,63,-63
32.534,-0.62,2.50,-0.12,16,63,-78
32.536,-0.38,2.75,-0.50,-16,47,-94
32.538,0.25,2.75,-1.25,-47,31,-78
32.540,0.75,2.12,-1.25,16,78,0
32.542,1.38,0.88,-1.25,63,109,31
32.544,1.75,0.00,-1.25,94,125,63
32.546,2.00,-0.50,-1.25,125,94,63
32.548,2.12,-0.88,-0.62,141,94,78
32.550,3.00,-1.38,-0.88,125,78,78
32.552,3.62,-1.75,-0.50,94,47,63
32.554,3.50,-1.62,-0.38,109,47,63
32.556,2.75,-1.00,-0.25,94,16,47
32.558,2.00,-1.00,-0.50,78,-16,47
32.560,1.38,-1.12,-0.38,94,-31,47
32.562,0.88,-1.62,0.00,109,-31,47
32.564,0.62,-1.88,0.25,141,-31,63
32.566,0.62,-2.00,0.50,141,-16,78
32.568,0.38,-1.88,0.50,141,0,78
32.570,0.00,-1.75,0.00,94,31,78
32.572,-0.38,-1.38,-0.50,78,31,78
32.574,-0.88,-0.38,-0.75,63,31,78
32.576,-1.38,0.75,-0.88,31,31,63
32.578,-1.38,1.00,-0.50,16,0,47
32.580,-1.50,1.12,0.62,47,16,31
